Year,major,score
2017,核科学与技术 ,330
2017,机械工程 ,330
2017,仪器科学与技术 ,330
2017,机械工程 ,330
2017,生态学,300
2017,光学工程,330
2017,旅游管理,350
2017,旅游管理（专业学位）,160
2017,地理学,300
2017,哲学,320
2017,世界史,310
2017,水利工程,290
2017,外国语言文学,350
2017,理论经济学,340
2017,新闻与传播,340
2017, 应用经济学,340
2017, 图书情报,230
2017,图书情报与档案管理,350
2017,中国语言文学,350
2017,中国史,310
2017,设计艺术学,335
2017,公共管理,175
2017,应用心理,355
2017,工商管理,350
2017,金融,360
2017,工商管理,225
2017,公共管理,350
2017,政治学,350
2017, 马克思主义理论,350
2017,会计,255
2017,心理学,355
2017,管理科学与工程,350
2017,审计（专业学位）,250
2017,应用经济学,340
2017,新闻传播学,355
2017,政治学,350
2017,宗教学,345
2017,伦理学,345
2017,中国史,345
2017,美学,345
2017,文物与博物馆硕士,330
2017,马克思主义哲学,345
2017,世界史,345
2017,中国哲学,345
2017,科学技术史,320
2017,外国哲学,345
2017,科学技术哲学,345
2017,逻辑学,345
2017,比较文学与世界文学,330
2017,中国语言文学（中国民间文学）,330
2017,新闻与传播硕士,330
2017,语言学及应用语言学,330
2017,环境科学与工程（环境健康）,320
2017,法律（非法学）,330
2017,法学,350
2017,汉语言文字学,330
2017,环境工程,320
2017,大气物理学与大气环境,320
2017,环境科学,320
2017, 法律（法学）,350
2017,中国现当代文学,330
2017,中国古代文学,330
2017,外国语言文学,350
2017,文艺学,330
2017,中国古典文献学,330
2017,政治学,350
2017,风险管理,340
2017,公司金融,340
2017,证券投资分析,340
2017,人口、资源与环境经济学,340
2017,国际贸易学,340
2017,区域经济学,340
2017,汉语国际教育,350
2017,工商管理（专业学位）,225
2017,管理科学与工程,350
2017,数量经济学,340
2017,金融工程,340
2017,量化投资策略,340
2017, 产业经济学,340
2017, 国际商务,340
2017,财政学,340
2017,文物与博物馆,320
2017,民族学,350
2017, 科学技术哲学,320
2017,考古学及博物馆学,310
2017,社会学,350
2017,世界史,310
2017,中国史,310
2017,人类学,320
2017,人口学,350
2017, 西方经济学,340
2017,中国语言文学,355
2017,哲学,320
2017,民俗学,350
2017,世界经济,340
2017, 政治经济学,340
2017, 世界近现代史,310
2017,中国哲学,320
2017,社会学,350
2017,史学理论与外国史学史,310
2017,文艺学,355
2017,工程管理硕士,170
2017,历史地理学,310
2017, 中国古代史学与学术,310
2017,逻辑学,320
2017,宗教学,320
2017,考古学及博物馆学,310
2017, 伦理学,320
2017, 马克思主义哲学,320
2017,文物与博物馆,310
2017,美学,320
2017,流体力学,320
2017,计算机应用技术,320
2017,固体力学,320
2017,管理科学与工程,345
2017,生物医学工程,320
2017,航空航天工程,320
2017,力学系统与控制,320
2017,控制理论与控制工程,320
2017,生物力学与医学工程,320
2017,智能科学与技术,320
2017,工程力学,320
2017,能源与资源工程,320
2017,计算机软件与理论,320
2017,先进材料与力学,320
2017,计算机系统结构,320
2017,信号与信息处理,320
2017,工程管理硕士,170
2017,软件工程,320
2017,电磁场与微波技术,320
2017,物理电子学,320
2017,通信与信息系统,320
2017,量子电子学,320
2017,微电子学与固体电子学,320
2017,工业设计工程,320
2017,电子与通信工程,320
2017,计算机技术,320
2017,电路与系统,320
2017,集成电路工程,320
2017,软件工程,320
2017,项目管理,320
2017,人文地理学,320
2017,城市与区域规划,320
2017,风景园林硕士,300
2017,生态学,320
2017,环境科学,320
2017,应用心理硕士,320
2017,第四纪地质学,320
2017,基础心理学,320
2017,应用心理学,320
2017,自然地理学,320
2017,心理学（临床心理学）,320
2017,建筑设计及其理论,320
2017,景观设计学,320
2017,历史地理学,320
2017,发展与教育心理学,320
2017,材料工程 ,330
2017,生物学 ,320
2017,工商管理 ,170
2017,化学 ,320
2017,金融,388
2017,数学 ,320
2017,化学,320
2017,天体物理,320
2017, 大气科学 ,320
2017,工商管理 ,330
2017,材料科学与工程 ,330
2017,物理学 ,320
2017,应用统计硕士 ,345
2017,管理科学与工程,330
2017,生态学 ,320
2017,航空宇航科学与技术,330
2017, 控制工程 ,330
2017,控制科学与工程,330
2017,力学,330
2017,软件工程 ,330
2017,计算机科学与技术,330
2017,电子科学与技术,330
2017,信息与通信工程 ,330
2017,力学,330
2017,电子科学与技术,330
2017,电子与通信工程,330
2017,航空宇航科学与技术 ,330
2017,集成电路工程,330
2017,动力工程及工程热物理,330
2017,电气工程 ,330
2017,仪器科学与技术,330
2017,航空宇航科学与技术,330
2017,电子科学与技术 ,330
2017,仪器仪表工程,330
2017,摄影测量与遥感,320
2017, 物流工程 ,330
2017,机械工程,330
2017, 电气工程 ,330
2017,动力工程 ,330
2017,电子科学与技术 ,330
2017,机械工程,330
2017,动力工程及工程热物理,330
2017,管理科学与工程 ,330
2017,车辆工程 ,330
2017,古生物学与地层学,320
2017,地质学（石油地质学）,320
2017,构造地质学,320
2017,地质学（材料及环境矿物学）,320
2017,地球化学,320
2017,固体地球物理学,320
2017,大气科学（物理海洋学）,320
2017,矿物学、岩石学、矿床学,320
2017,气象学,320
2017,空间物理学,320
2017,化学,320
2017,核技术及应用,320
2017,光学,320
2017,地图学与地理信息系统,320
2017,大气物理学与大气环境,320
2017,基础数学,320
2017,土木工程,330
2017,应用数学,320
2017,概率论与数理统计,320
2017,核科学与技术,330
